user_id,court_id,day_of_week,time_slot
43,1,Thursday,20:00
271,3,Tuesday,06:00
279,2,Friday,16:00
74,5,Saturday,07:00
277,4,Monday,18:00
28,3,Tuesday,13:00
16,1,Monday,16:00
222,3,Sunday,06:00
127,4,Thursday,09:00
200,3,Tuesday,08:00
53,1,Thursday,13:00
182,1,Tuesday,20:00
150,4,Tuesday,13:00
195,4,Wednesday,09:00
223,3,Tuesday,14:00
254,1,Saturday,11:00
171,4,Thursday,12:00
154,2,Saturday,16:00
164,2,Saturday,15:00
202,1,Monday,07:00
237,2,Monday,09:00
156,1,Saturday,21:00
230,5,Thursday,17:00
275,5,Wednesday,11:00
86,3,Friday,21:00
221,1,Saturday,11:00
238,2,Friday,06:00
213,4,Monday,15:00
234,4,Friday,17:00
164,4,Wednesday,12:00
125,2,Wednesday,17:00
208,3,Thursday,13:00
231,2,Wednesday,11:00
296,3,Monday,08:00
135,5,Saturday,20:00
59,5,Monday,12:00
44,3,Sunday,08:00
73,1,Monday,17:00
276,1,Tuesday,15:00
96,4,Thursday,08:00
70,2,Monday,21:00
213,2,Tuesday,14:00
150,5,Tuesday,19:00
254,3,Saturday,12:00
278,1,Monday,07:00
127,1,Thursday,08:00
225,5,Monday,08:00
220,3,Saturday,07:00
276,5,Tuesday,20:00
49,3,Thursday,10:00
128,2,Wednesday,18:00
213,4,Wednesday,14:00
189,1,Thursday,14:00
235,4,Friday,14:00
112,4,Sunday,16:00
173,1,Thursday,21:00
24,3,Monday,07:00
220,3,Thursday,15:00
48,5,Sunday,07:00
120,3,Saturday,21:00
266,4,Sunday,08:00
68,3,Sunday,14:00
154,4,Monday,15:00
85,5,Friday,19:00
227,5,Monday,06:00
180,2,Wednesday,10:00
14,4,Saturday,07:00
28,4,Sunday,10:00
271,3,Monday,10:00
188,2,Sunday,08:00
8,2,Thursday,18:00
217,1,Tuesday,15:00
41,1,Saturday,20:00
159,1,Tuesday,11:00
60,4,Saturday,19:00
6,5,Thursday,20:00
138,4,Monday,13:00
135,5,Thursday,21:00
29,5,Thursday,15:00
294,2,Thursday,06:00
126,3,Thursday,19:00
284,1,Saturday,20:00
139,4,Friday,14:00
206,3,Thursday,15:00
5,3,Monday,08:00
238,2,Tuesday,13:00
13,1,Thursday,14:00
193,2,Sunday,15:00
73,5,Saturday,15:00
212,3,Monday,14:00
202,2,Monday,07:00
162,3,Thursday,08:00
70,2,Friday,10:00
161,3,Wednesday,19:00
136,5,Monday,16:00
21,4,Friday,15:00
263,4,Sunday,07:00
232,5,Monday,21:00
63,3,Saturday,21:00
299,5,Thursday,14:00
66,4,Friday,21:00
203,3,Friday,15:00
144,1,Tuesday,15:00
211,3,Thursday,16:00
103,3,Sunday,18:00
246,2,Saturday,16:00
14,4,Sunday,20:00
272,5,Saturday,09:00
137,4,Tuesday,19:00
182,3,Sunday,19:00
15,4,Friday,12:00
278,3,Tuesday,18:00
11,3,Sunday,11:00
91,4,Sunday,19:00
57,3,Monday,13:00
155,5,Sunday,17:00
288,4,Wednesday,11:00
66,5,Wednesday,18:00
17,3,Tuesday,13:00
255,2,Wednesday,20:00
46,3,Saturday,12:00
108,1,Friday,06:00
198,3,Monday,21:00
280,4,Monday,13:00
18,3,Tuesday,10:00
193,4,Tuesday,14:00
16,4,Sunday,17:00
170,3,Wednesday,12:00
122,4,Friday,13:00
2,5,Sunday,21:00
106,1,Friday,06:00
242,1,Friday,09:00
190,4,Sunday,17:00
289,5,Thursday,18:00
117,3,Thursday,21:00
244,5,Friday,10:00
89,1,Tuesday,10:00
223,3,Friday,16:00
45,5,Tuesday,16:00
268,4,Monday,07:00
55,3,Thursday,17:00
197,4,Friday,10:00
74,3,Monday,08:00
244,1,Wednesday,21:00
117,5,Sunday,08:00
46,3,Sunday,09:00
29,5,Tuesday,17:00
89,5,Tuesday,17:00
102,2,Tuesday,14:00
191,4,Thursday,09:00
177,2,Wednesday,15:00
84,2,Sunday,13:00
210,1,Thursday,07:00
115,4,Saturday,14:00
179,3,Saturday,21:00
262,5,Sunday,08:00
247,3,Sunday,16:00
97,2,Wednesday,18:00
14,2,Monday,21:00
299,5,Tuesday,11:00
184,2,Monday,11:00
66,2,Saturday,12:00
182,3,Wednesday,20:00
238,2,Sunday,07:00
272,2,Sunday,11:00
74,3,Monday,10:00
161,2,Thursday,19:00
296,5,Thursday,10:00
207,4,Wednesday,14:00
8,3,Sunday,18:00
116,4,Sunday,06:00
86,5,Friday,20:00
223,3,Tuesday,17:00
85,5,Saturday,19:00
259,3,Monday,18:00
274,4,Friday,06:00
214,5,Monday,21:00
5,3,Wednesday,08:00
215,4,Monday,18:00
255,1,Tuesday,12:00
152,1,Sunday,07:00
170,4,Wednesday,10:00
77,2,Sunday,06:00
234,3,Wednesday,15:00
185,4,Wednesday,18:00
88,3,Thursday,06:00
94,1,Friday,13:00
216,2,Wednesday,14:00
54,5,Sunday,17:00
184,2,Sunday,10:00
58,1,Monday,06:00
174,1,Monday,15:00
77,1,Friday,06:00
259,4,Sunday,21:00
143,3,Monday,17:00
41,1,Friday,13:00
255,5,Sunday,18:00
156,3,Friday,21:00
28,2,Sunday,09:00
232,4,Monday,20:00
281,5,Thursday,07:00
55,5,Thursday,21:00
174,4,Sunday,06:00
235,5,Friday,17:00
284,3,Sunday,19:00
66,4,Thursday,20:00
215,4,Saturday,20:00
69,5,Wednesday,15:00
161,3,Wednesday,19:00
177,4,Tuesday,19:00
60,2,Friday,21:00
217,4,Wednesday,14:00
147,4,Thursday,15:00
184,2,Monday,11:00
122,4,Tuesday,10:00
214,3,Saturday,18:00
104,5,Thursday,17:00
101,2,Monday,15:00
194,4,Sunday,19:00
3,3,Friday,20:00
252,2,Saturday,15:00
213,3,Tuesday,15:00
170,1,Wednesday,21:00
59,3,Monday,11:00
196,2,Wednesday,08:00
250,2,Wednesday,10:00
276,4,Tuesday,19:00
54,2,Sunday,19:00
79,2,Thursday,06:00
129,3,Wednesday,19:00
222,2,Wednesday,06:00
300,2,Thursday,06:00
45,5,Tuesday,14:00
70,2,Sunday,11:00
6,3,Sunday,18:00
276,1,Sunday,20:00
83,5,Sunday,19:00
282,2,Friday,10:00
298,4,Sunday,11:00
100,1,Wednesday,16:00
290,5,Tuesday,08:00
224,4,Tuesday,12:00
229,4,Sunday,10:00
144,4,Tuesday,06:00
260,5,Thursday,15:00
134,2,Monday,07:00
149,1,Thursday,21:00
123,3,Sunday,10:00
290,1,Saturday,09:00
113,4,Sunday,11:00
199,3,Saturday,12:00
135,1,Thursday,21:00
265,3,Saturday,12:00
250,1,Friday,11:00
40,2,Tuesday,07:00
118,4,Wednesday,17:00
211,4,Thursday,15:00
294,1,Thursday,07:00
289,5,Thursday,08:00
247,3,Sunday,15:00
86,5,Wednesday,08:00
68,5,Sunday,17:00
50,3,Wednesday,18:00
277,4,Sunday,21:00
23,4,Friday,09:00
180,2,Friday,09:00
245,4,Sunday,17:00
4,3,Saturday,09:00
210,2,Sunday,08:00
290,4,Tuesday,07:00
92,3,Friday,08:00
71,3,Saturday,19:00
174,2,Friday,14:00
242,2,Thursday,08:00
20,4,Thursday,08:00
90,5,Saturday,16:00
87,1,Tuesday,10:00
142,2,Wednesday,13:00
36,1,Friday,12:00
233,4,Friday,11:00
287,3,Friday,18:00
276,4,Wednesday,13:00
236,1,Sunday,06:00
113,5,Friday,16:00
135,1,Wednesday,20:00
244,2,Sunday,15:00
121,4,Sunday,07:00
183,5,Wednesday,06:00
4,3,Friday,12:00
252,2,Tuesday,15:00
28,2,Sunday,06:00
90,5,Tuesday,18:00
195,5,Wednesday,08:00
122,1,Tuesday,11:00
215,4,Tuesday,21:00
293,5,Tuesday,14:00
222,2,Tuesday,07:00
